id,pertanyaan,jawaban,kategori,cleaning,case_folding,normalisasi,tokenisasi,stopword_removal
361,kelas bumi untuk usia berapa??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
362,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
363,jadwal kegiatan kidsland kapan dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'dong']","['jadwal', 'kegiatan', 'kidsland']"
364,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
365,anak suka menggambar ya,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar ya,anak suka menggambar ya,anak suka menggambar ya,"['anak', 'suka', 'menggambar', 'ya']","['anak', 'suka', 'menggambar', 'ya']"
366,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
367,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
368,ank usia 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
369,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
370,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
371,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
372,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
373,kls bumi utk usiaa brp,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi utk usiaa brp,kls bumi utk usiaa brp,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
374,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
375,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
376,jadwal kegiatan kidsland kapan??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
377,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
378,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
379,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
380,kls bumi utk usia berapa...,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi utk usia berapa,kls bumi utk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
381,ank usiaa 5 tahun cocok aktivitas apa??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usiaa tahun cocok aktivitas apa,ank usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
382,anak usiaa 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
383,kls awan untuk usiaa berapa...,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usiaa berapa,kls awan untuk usiaa berapa,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
384,anak usia 5 tahun cocok aktivitas ap,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
385,kelas awan utk usia berap...,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan utk usia berap,kelas awan utk usia berap,kelas awan untuk usia berap,"['kelas', 'awan', 'untuk', 'usia', 'berap']","['kelas', 'awan', 'usia', 'berap']"
386,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
387,jdwl kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan ya,jdwl kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
388,kelas awan untuk usia berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
389,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
390,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
391,anak usia 3 tahun cocok aktivitas ap,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
392,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
393,anak usia 3 tahun cocok aktivitas apa??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
394,ank usia 3 tahun cocok aktivitas ap?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usia tahun cocok aktivitas ap,ank usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
395,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
396,anak usiaa 5 tahun cocok aktivitas ap...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
397,jadwal kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
398,lokasi kegiatan dimana dong,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,"['lokasi', 'kegiatan', 'dimana', 'dong']","['lokasi', 'kegiatan', 'dimana']"
399,anak usia 3 tahun cocok aktivitas ap...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
400,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
401,kls awan untuk usiaa brp...,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usiaa brp,kls awan untuk usiaa brp,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
402,kelas bumi untuk usia brp,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia brp,kelas bumi untuk usia brp,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
403,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
404,kelas awan untuk usia berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
405,anak usia 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
406,kls bumi utk usiaa berapa,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi utk usiaa berapa,kls bumi utk usiaa berapa,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
407,ank usia 5 tahun cocok aktivitas apa?,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
408,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
409,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
410,cara daftar kidsland?,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
411,jdwl kegiatan kidsland kapn?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn,jdwl kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
412,kelas bumi utk usia berapa??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usia berapa,kelas bumi utk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
413,anak usia 5 tahun cocok aktivitas ap??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
414,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
415,kls awan untuk usia brp...,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usia brp,kls awan untuk usia brp,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
416,anak suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
417,ank suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
418,kelas bumi untuk usia berapa?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
419,kelas bumi untuk usia brp?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia brp,kelas bumi untuk usia brp,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
420,jadwal kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
421,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
422,kelas awan untuk usia berap??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berap,kelas awan untuk usia berap,kelas awan untuk usia berap,"['kelas', 'awan', 'untuk', 'usia', 'berap']","['kelas', 'awan', 'usia', 'berap']"
423,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
424,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
425,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
426,anak usia 3 tahun cocok aktivitas apa ya,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
427,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
428,jadwal kegiatan kidsland kapn dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,"['jadwal', 'kegiatan', 'kidsland', 'kapn', 'dong']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
429,ank usia 5 tahun cocok aktivitas apa,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
430,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
431,kls bumi untuk usiaa berapa ya,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi untuk usiaa berapa ya,kls bumi untuk usiaa berapa ya,kelas bumi untuk usiaa berapa ya,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa', 'ya']","['kelas', 'bumi', 'usiaa', 'ya']"
432,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
433,anak usia 5 tahun cocok aktivitas apa??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
434,anak usiaa 3 tahun cocok aktivitas apa?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
435,kls bumi untuk usia berapa?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi untuk usia berapa,kls bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
436,cara daftar kidsland?,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
